Country,International Openness,Air transport infrastructure,Ground and port infrastructure,Tourist service infrastructure,Prioritization of Travel & Tourism,Natural and cultural resources ,Environmental sustainability,Price competitiveness,Safety and security,TTCI
Paraguay,2.730622471,1.610588168,2.306033724,3.232236328,5.036664422,1.90192152,3.773259881,5.371144892,4.863545982,3.231816657
Peru,4.524148617,2.79999399,2.543895359,5.338920182,4.70640001,3.89410641,4.422074215,5.31317419,4.672793689,4.167020524
Philippines,3.500883485,3.172573293,2.815883604,3.59505583,4.869321407,2.812531939,4.002625609,5.866099594,3.641011207,3.75190218
Poland,4.102777088,3.205225578,4.257470974,4.524203921,4.2062006,3.091726333,4.213472964,5.676085388,5.621711342,4.232195199
Portugal,4.228573153,4.721845673,4.182094284,6.69837054,5.744217944,4.049305428,4.175880394,5.053967796,6.280516799,4.893555598
Puerto Rico,,,,,,,,,,
Qatar,3.523651651,4.543642033,4.734324904,5.034733048,4.389704808,1.634155726,4.36833611,5.925909057,6.259032785,4.134611622
Romania,3.931525718,2.716992221,3.098776785,4.554583502,4.102022106,2.75193003,4.41474034,5.600172862,5.957284459,3.989246718
Russian Federation,2.227719498,4.61481326,3.327313313,4.137598801,4.416270484,3.796044675,4.21113827,5.806038305,5.147440443,4.317196943
Rwanda,3.234168379,1.919488791,3.424988429,2.31462056,4.09747742,1.868463317,4.513354662,5.339971705,5.93609686,3.249417614
Saudi Arabia,1.60792987,4.140314404,3.489040757,5.132730482,4.626442109,1.871119963,3.951636286,5.877751485,6.004480326,3.875164277
Senegal,2.79348747,2.208417132,2.810484688,3.128505988,3.741031652,2.199997548,4.57187488,5.021147668,5.281987235,3.261882686
Serbia,3.248989893,2.607940645,3.022458609,3.913470305,3.872719498,1.87538665,4.46832655,5.482643239,5.48149245,3.627687596
Seychelles,2.662354384,4.275462272,4.383114021,5.358692749,5.891592446,1.806828127,4.253846523,3.894659275,5.183658426,3.929484804
Sierra Leone,2.80023097,1.724147842,2.72489601,1.879687507,3.449069771,1.605808452,4.217994148,4.391118282,5.109567271,2.784014009
Singapore,4.805370029,5.497220935,6.397093773,5.120324907,6.052598335,2.367011416,4.322870271,5.014499684,6.358609027,4.757802068
Slovak Republic,3.910044524,1.988388681,4.164710637,4.41939205,4.284675265,2.5209135,4.694275178,5.446153916,5.621153908,3.97325529
Slovenia,3.717021409,2.5523505,4.761933406,5.420132906,5.12979307,2.897027952,5.362070074,5.127956987,6.148684808,4.346416355
South Africa,2.532744247,3.337493885,3.524090264,4.296735686,4.501327899,3.857469728,3.701502623,5.59169438,3.907342917,3.972077204
Spain,3.949139398,5.048391855,5.238776214,6.564007435,5.902130486,5.733638745,4.742857928,5.016324092,6.14038842,5.440051845
Sri Lanka,2.714088654,2.75565507,3.731760783,3.261859328,5.190016147,2.666037239,4.029648,5.374751821,5.390707932,3.726056304
Suriname,,,,,,,,,,
Eswatini,2.689467571,2.185345174,3.120860076,3.021141283,4.643330015,1.617652398,3.666806889,6.131640501,5.50166353,3.124771981
Sweden,4.094004417,4.980694225,4.662834169,4.768151429,4.519385904,3.06034396,5.237153492,4.276021185,5.871852275,4.56259997
Switzerland,4.130245854,5.044551867,6.065158532,6.20333895,5.614305865,3.225919172,5.979393277,3.697126955,6.394505899,5.015923354
Taiwan,3.650841913,3.864005636,5.127036641,4.764088153,4.659167262,2.59961545,4.431289596,5.361886092,5.980404801,4.33228894
Tajikistan,2.499031551,2.157322843,2.808572514,1.972068215,4.281805706,2.071518183,3.903610157,5.580318095,5.593495601,3.28387409
Tanzania,3.269013723,2.2430364,2.809800651,2.390140433,4.854026456,3.000430512,4.394482704,5.508432231,5.153780131,3.431573529
Thailand,3.931954064,4.631676815,3.29349709,5.946025638,5.212046584,3.720042268,3.56808179,5.849973434,4.772206043,4.497072391
Trinidad and Tobago,3.559504803,3.117359808,4.045946747,4.10760392,3.984857349,1.61009921,3.921440902,5.579512109,3.921051952,3.58319351
Tunisia,2.554163645,2.49121657,2.77591271,4.143452885,5.023601084,1.999145117,4.429875249,6.120071922,5.224230933,3.5868216
Turkey,3.826657434,4.736904605,3.560154755,5.041155305,5.076718579,3.295080435,3.673778915,5.619696976,4.310233974,4.222694729
Uganda,3.028111961,1.739929696,2.451358997,2.281896125,4.300440686,2.613219267,4.204682713,5.681307939,4.678304825,3.193652789
Ukraine,3.730514385,2.744265123,3.138912709,4.291177713,4.305994618,2.084553803,3.876523845,5.904228134,4.838668907,3.723519266
United Arab Emirates,3.023244373,5.666263584,4.455980938,5.629278689,4.711320736,2.283901001,4.465282793,5.5250145,6.329595388,4.434902929
United Kingdom,4.242401259,5.227051312,5.363371102,6.099075655,4.920897922,4.999700269,5.213698225,3.190426664,5.781812572,5.192136611
United States,4.022893746,5.931318719,4.855942111,6.563113102,5.505274638,4.854004433,4.065255833,4.713522584,5.629023729,5.25390325
Uruguay,2.958406596,2.297092215,2.792091094,4.824160869,5.312601542,2.138897759,4.228380585,4.958936217,5.301167374,3.765774605
Venezuela,2.161114493,1.841061725,1.981568955,2.964388123,3.444015478,3.069031866,3.699652003,5.051099146,3.333187964,3.131438397
Vietnam,3.698360246,3.385511685,3.040827189,2.847542014,4.138475695,3.363391563,3.759296094,5.874477455,5.607955911,3.91448675
Yemen,1.322955499,1.221357665,1.990345649,1.868755215,2.09776957,1.558329516,3.38477134,5.96886528,3.202798347,2.418024933
Zambia,2.877032507,1.778220874,2.385603933,2.516804724,3.926902103,2.454212754,4.376443702,5.136279992,5.325170876,3.161749565
Zimbabwe,3.020676533,1.790866987,2.268938456,2.952298852,4.189948745,2.440331255,4.066244854,5.321691097,5.394194155,3.153261539
